# SCOWL rarity tier for scowl-60: smallest SCOWL size each word appears at (lower = more common; generated by scripts/build_wordlist.py)
acrostics	50
acrylamide	60
acrylic	35
acrylics	35
act	35
acted	35
acting	35
actinium	50
action	35
actionable	50
actions	35
activate	35
activated	35
activates	35
activating	35
activation	40
activator	60
activators	60
active	35
actively	35
activeness	60
actives	35
activism	40
activist	35
activists	35
activities	35
activity	35
actor	35
actors	35
actress	35
actresses	35
acts	35
actual	35
actualities	35
actuality	35
actualization	40
actualize	50
actualized	50
actualizes	50
actualizing	50
actually	35
actuarial	50
actuaries	50
actuary	35
actuate	50
actuated	50
actuates	50
actuating	50
actuation	60
actuator	50
actuators	50
acuity	50
acumen	35
acupressure	60
acupuncture	35
acupuncturist	50
acupuncturists	50
acute	35
acutely	35
acuteness	50
acuter	35
acutes	35
acutest	35
acyclovir	60
acyl	60
ad	35
adage	35
adages	35
adagio	50
adagios	50
adamant	35
adamantly	40
adapt	35
adaptability	50
adaptable	35
adaptation	35
adaptations	35
adapted	35
adapter	35
adapters	40
adapting	35
adaption	60
adaptions	60
adaptive	35
adapts	35
add	35
addable	60
added	35
addend	50
addenda	50
addends	50
addendum	35
adder	50
adders	50
addict	35
addicted	35
addicting	35
addiction	35
addictions	35
addictive	35
addicts	35
adding	35
addition	35
additional	35
additionally	35
additions	35
additive	35
additives	35
addle	50
addled	50
addles	50
addling	50
address	35
addressable	50
addressed	35
addressee	35
addressees	35
addresses	35
addressing	35
adds	35
adduce	50
adduced	50
adduces	50
adducing	50
adenine	60
adenocarcinoma	60
adenocarcinomas	60
adenoid	60
adenoidal	50
adenoids	50
adept	35
adeptly	40
adeptness	50
adepts	35
adequacy	40
adequate	35
adequately	35
adequateness	60
adhere	35
adhered	35
adherence	35
adherent	35
adherents	35
adheres	35
adhering	35
adhesion	35
adhesive	35
adhesiveness	60
adhesives	35
adiabatic	50
adieu	50
adieus	50
adios	50
adipose	50
adjacency	60
adjacent	35
adjacently	50
adjectival	40
adjectivally	50
adjective	35
adjectives	35
adjoin	35
adjoined	35
adjoining	35
adjoins	35
adjourn	35
adjourned	35
adjourning	35
adjournment	35
adjournments	35
adjourns	35
adjudge	50
adjudged	50
adjudges	50
adjudging	50
adjudicate	40
adjudicated	40
adjudicates	40
adjudicating	40
adjudication	50
adjudications	50
adjudicative	60
adjudicator	40
adjudicators	40
adjudicatory	60
adjunct	35
adjuncts	35
adjuration	50
adjurations	50
adjure	50
adjured	50
adjures	50
adjuring	50
adjust	35
adjustability	60
adjustable	35
adjusted	35
adjuster	50
adjusters	50
adjusting	35
adjustment	35
adjustments	35
adjusts	35
adjutant	50
adjutants	50
adman	50
admen	50
admin	60
administer	35
administered	35
administering	35
administers	35
administrate	50
administrated	50
administrates	50
administrating	50
administration	35
administrations	35
administrative	35
administratively	50
administrator	35
administrators	35
admirable	35
admirably	35
admiral	35
admirals	35
admiralty	50
admiration	35
admire	35
admired	35
admirer	35
admirers	35
admires	35
admiring	35
admiringly	40
admissibility	50
admissible	35
admissibly	60
admission	35
admissions	35
admit	35
admits	35
admittance	35
admitted	35
admittedly	35
admitting	35
admix	60
admixed	60
admixes	60
admixing	60
admixture	50
admixtures	50
admonish	35
admonished	35
admonishes	35
admonishing	35
admonishment	50
admonishments	50
admonition	35
admonitions	35
admonitory	50
ado	35
adobe	35
adobes	35
adobo	60
adolescence	35
adolescences	35
adolescent	35
adolescents	35
adopt	35
adoptable	60
adopted	35
adoptee	60
adoptees	60
adopter	60
adopters	60
adopting	35
adoption	35
adoptions	35
adoptive	40
adopts	35
adorable	35
adorableness	60
adorably	50
adoration	35
adore	35
adored	35
adorer	60
adorers	60
adores	35
adoring	35
adoringly	50
adorn	35
adorned	35
adorning	35
adornment	35
adornments	35
adorns	35
adrenal	50
adrenaline	40
adrenals	50
adrenergic	60
adrift	35
adroit	35
adroitly	35
adroitness	50
ads	35
adsorb	60
adsorbed	60
adsorbent	60
adsorbents	60
adsorbing	60
adsorbs	60
adsorption	60
adsorptions	60
adulate	50
adulated	50
adulates	50
adulating	50
adulation	35
adulator	60
adulators	60
adulatory	60
adult	35
adulterant	50
adulterants	50
adulterate	35
adulterated	35
adulterates	35
adulterating	35
adulteration	35
adulterer	50
adulterers	50
adulteress	50
adulteresses	50
adulteries	35
adulterous	50
adultery	35
adulthood	35
adults	35
adumbrate	50
adumbrated	50
adumbrates	50
adumbrating	50
adumbration	50
advance	35
advanced	35
advancement	35
advancements	35
advances	35
advancing	35
advantage	35
advantaged	35
advantageous	35
advantageously	50
advantages	35
advantaging	35
advent	35
adventitious	50
adventitiously	60
advents	40
adventure	35
adventured	35
adventurer	35
adventurers	35
adventures	35
adventuresome	50
adventuress	50
adventuresses	50
adventuring	35
adventurism	60
adventurist	60
adventurists	60
adventurous	35
adventurously	50
adventurousness	60
adverb	35
adverbial	35
adverbially	60
adverbials	35
adverbs	35
adversarial	50
adversaries	35
adversary	35
adverse	35
adversely	35
adverseness	60
adversities	35
adversity	35
advert	35
adverted	50
adverting	50
advertise	35
advertised	35
advertisement	35
advertisements	35
advertiser	40
advertisers	35
advertises	35
advertising	35
advertorial	60
advertorials	60
adverts	35
advice	35
advisability	50
advisable	35
advisably	60
advise	35
advised	35
advisedly	50
advisement	50
adviser	35
advisers	35
advises	35
advising	35
advisor	35
advisories	35
advisors	35
advisory	35
advocacy	40
advocate	35
advocated	35
advocates	35
advocating	35
adware	50
adze	50
adzes	50
aegis	50
aerate	50
aerated	50
aerates	50
aerating	50
aeration	50
aerator	50
aerators	50
aerial	35
aerialist	50
aerialists	50
aerially	60
aerials	35
aerie	50
aeries	50
aerobatic	60
aerobatics	50
aerobic	40
aerobically	60
aerobics	40
aerodrome	60
aerodromes	60
aerodynamic	35
aerodynamically	50
aerodynamics	35
aerogram	60
aerograms	60
aeronautic	60
aeronautical	50
aeronautics	50
aerosol	35
aerosols	35
aerospace	35
aery	60
aesthete	50
aesthetes	50
aesthetic	35
aesthetically	35
aestheticism	60
aesthetics	40
afar	35
affability	50
affable	35
affably	35
affair	35
affairs	35
affect	35
affectation	35
affectations	35
affected	35
affectedly	60
affecting	35
affectingly	60
affection	35
affectionate	35
affectionately	35
affections	35
affective	60
affects	35
afferent	60
affiance	60
affianced	60
affiances	60
affiancing	60
affidavit	35
affidavits	35
affiliate	35
affiliated	35
affiliates	35
affiliating	35
affiliation	35
affiliations	35
affine	60
affinities	35
affinity	35
affirm	35
affirmation	35
affirmations	35
affirmative	35
affirmatively	40
affirmatives	35
affirmed	35
affirming	35
affirms	35
affix	35
affixed	35
affixes	35
affixing	35
afflatus	60
afflict	35
afflicted	35
afflicting	35
affliction	35
afflictions	35
afflicts	35
affluence	35
affluent	35
affluently	50
afford	35
affordability	60
affordable	35
affordably	60
afforded	35
affording	35
affords	35
afforest	50
afforestation	50
afforested	50
afforesting	50
afforests	50
affray	50
affrays	50
affront	35
affronted	35
affronting	35
affronts	35
afghan	50
afghans	50
aficionado	50
aficionados	50
afield	35
afire	50
aflame	35
afloat	35
aflutter	50
afoot	35
aforementioned	35
aforesaid	35
aforethought	50
afoul	50
afraid	35
afresh	35
aft	50
after	35
afterbirth	50
afterbirths	50
afterburner	50
afterburners	50
aftercare	50
aftereffect	35
aftereffects	35
afterglow	50
afterglows	50
afterimage	60
afterimages	60
afterlife	35
afterlives	35
aftermarket	60
aftermarkets	60
aftermath	35
aftermaths	35
afternoon	35
afternoons	35
afters	60
aftershave	40
aftershaves	40
aftershock	40
aftershocks	40
aftertaste	50
aftertastes	50
afterthought	35
afterthoughts	35
afterward	35
afterwards	35
afterword	60
afterwords	60
again	35
against	35
agape	50
agar	50
agate	50
agates	50
agave	50
age	35
aged	35
ageism	50
ageist	60
ageists	60
ageless	50
agelessly	60
agelessness	60
agencies	35
agency	35
agenda	35
agendas	35
agenesis	60
